Unnamed: 0,letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgeycor,yedge,yedgexcor
407,R,6,9,6,4,4,5,8,3,6,7,4,10,5,7,5,7
907,R,5,10,6,6,3,6,13,9,3,7,2,9,3,7,5,10
1770,R,2,2,3,4,3,7,7,5,6,7,6,7,3,7,5,8
802,B,4,4,5,7,4,7,6,9,7,6,6,7,2,7,9,10
200,B,4,10,3,8,7,7,6,9,6,7,7,7,2,9,8,10
30,P,2,1,3,2,2,6,9,5,5,9,7,4,1,9,4,7
1212,B,4,9,6,6,7,8,8,7,6,7,4,6,2,7,7,10
553,P,5,7,7,5,3,7,11,4,6,13,6,3,1,10,3,8
146,P,5,9,6,7,4,6,10,4,7,10,9,4,0,10,5,7
142,P,4,7,6,5,3,9,8,2,6,13,5,6,2,10,3,9
102,P,7,12,6,7,4,7,10,3,5,13,5,3,3,11,5,6
704,B,4,8,6,5,3,8,8,4,7,10,5,6,2,8,6,10
343,A,9,13,7,7,4,8,2,3,2,8,4,12,5,4,5,6
347,P,5,10,7,8,6,8,9,5,4,12,5,4,2,10,3,8
1182,P,4,8,6,5,5,4,11,4,5,11,9,5,0,10,3,6
361,A,2,4,4,3,2,10,3,2,2,9,2,9,2,7,3,10
1029,B,9,15,5,8,4,9,5,6,6,10,3,9,6,6,7,11
624,A,4,10,7,7,5,7,5,2,3,5,2,6,3,7,4,4
904,R,4,11,6,9,5,7,9,4,7,6,5,7,5,5,6,9
1757,B,4,8,6,6,5,9,7,4,7,10,5,6,2,8,6,10
5,R,2,7,4,4,4,8,6,7,3,8,6,8,4,6,7,8
743,A,1,9,4,6,2,7,4,4,2,6,1,8,2,8,2,8
501,R,2,1,1,1,1,6,9,8,4,7,5,7,2,7,4,11
877,A,8,15,6,8,4,8,3,3,2,8,4,11,7,4,5,8
462,P,2,4,4,3,2,7,11,5,2,11,5,3,1,10,2,9
1941,P,2,6,3,5,3,5,10,7,2,9,6,5,1,10,3,8
1903,B,8,12,6,6,4,10,5,6,5,11,3,9,5,7,6,10
1847,A,2,5,4,3,2,7,3,1,2,6,2,8,3,5,2,8
254,P,4,7,5,5,3,8,8,3,5,13,4,3,1,10,3,9
1806,R,3,6,4,4,3,7,7,4,5,6,5,6,3,7,4,8
955,A,3,8,5,6,2,8,5,2,1,7,0,8,2,7,2,8
814,R,2,5,4,2,2,8,7,3,4,10,4,7,2,6,3,10
899,A,2,6,3,3,2,11,3,2,2,9,2,9,2,7,2,8
1085,P,3,7,5,11,8,8,9,5,0,8,6,6,5,11,6,9
1528,B,1,3,3,2,2,8,7,3,5,9,6,7,2,8,4,8
1261,R,6,11,9,8,8,9,8,4,6,9,3,6,4,6,4,11
204,R,3,4,4,2,3,7,8,5,5,6,4,6,2,7,4,9
1030,B,5,6,7,4,5,8,8,6,4,6,5,6,4,8,6,5
1774,A,2,1,3,1,1,7,3,2,0,7,2,8,3,6,1,8
89,A,4,11,7,8,4,12,4,3,3,9,1,9,3,8,3,9
1391,A,1,6,4,4,2,8,3,2,2,7,2,8,2,6,2,6
281,A,3,3,5,4,1,9,3,3,2,8,2,9,3,6,2,8
221,B,5,7,7,5,5,10,6,3,7,11,3,7,4,6,6,11
1072,P,4,9,5,11,10,8,9,3,0,8,7,6,8,10,6,8
181,B,6,11,8,8,8,9,6,4,5,7,6,7,4,8,6,10
166,P,4,7,6,5,3,5,12,6,2,12,4,2,1,10,3,8
2097,A,3,6,5,4,3,11,2,2,2,9,2,9,3,6,3,8
157,B,4,7,5,5,5,8,6,6,6,6,6,6,2,8,7,9
844,R,3,6,5,4,4,7,9,4,5,8,4,8,3,5,4,11
101,P,3,4,5,4,2,8,9,4,4,11,4,3,1,11,3,8
262,P,2,4,4,3,2,7,8,3,4,12,5,4,1,10,3,8
844,P,5,11,6,8,4,4,11,10,3,9,6,4,2,10,4,8
739,A,2,11,6,8,2,9,6,3,1,8,0,8,2,7,2,8
1202,R,2,4,2,3,2,7,6,5,5,6,5,6,2,7,4,8
243,A,2,1,4,2,1,8,2,2,2,8,1,8,2,6,2,7
749,B,4,9,4,7,4,6,7,9,7,7,6,7,2,8,9,10
686,P,3,6,4,4,2,9,9,3,4,13,4,3,1,10,3,9
616,B,5,7,8,6,9,9,6,4,4,8,6,8,7,9,8,7
293,B,11,15,9,8,9,8,8,4,6,10,5,6,8,3,9,7
1244,R,5,5,6,8,3,6,10,10,4,7,5,9,3,8,6,11
801,A,7,13,7,7,4,12,3,6,2,12,2,10,5,3,4,10
1834,R,3,6,4,4,5,6,8,8,4,7,6,8,2,8,5,11
695,P,1,1,2,1,1,5,11,8,2,9,6,4,1,9,3,8
2010,A,6,9,9,8,8,7,8,2,4,6,7,8,6,5,5,6
877,B,4,9,5,6,7,9,6,4,4,5,7,7,7,9,8,6
1934,P,3,4,5,3,1,7,9,3,4,11,4,2,1,10,2,8
1549,R,7,11,9,8,9,8,9,8,4,8,5,6,5,8,8,12
425,P,6,10,5,5,3,4,13,6,1,12,6,4,3,10,3,8
546,A,3,7,5,5,2,10,2,2,2,9,2,8,2,6,4,8
228,A,1,3,3,2,1,6,3,2,3,5,2,8,1,6,1,7
275,B,1,1,2,2,1,7,7,8,5,7,6,7,2,8,7,9
18,B,2,4,3,3,3,7,8,5,5,7,6,6,2,8,6,9
929,R,4,4,4,6,3,5,9,9,4,7,5,8,3,8,5,10
228,P,5,11,7,8,6,7,7,7,5,8,7,8,2,9,7,9
901,A,2,7,4,6,2,10,3,2,2,9,1,9,2,6,2,8
478,B,4,7,6,5,5,9,7,4,5,9,5,6,2,8,5,9
2046,B,3,7,5,5,7,8,6,5,3,7,6,8,6,10,8,7
914,A,3,5,6,4,3,9,1,2,2,8,1,8,2,6,2,7
552,R,6,10,6,8,3,5,11,9,4,7,4,8,3,6,6,11
59,B,3,6,5,4,2,9,7,3,7,9,6,6,2,8,5,8
1651,A,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
242,R,10,14,8,8,5,8,8,6,5,9,4,9,7,5,6,11
680,R,6,10,7,7,6,8,9,4,5,8,4,8,3,6,6,11
635,R,6,11,7,8,8,6,8,6,6,6,5,7,3,7,5,8
252,P,7,10,10,8,5,6,13,7,2,11,4,2,1,11,4,8
873,R,4,8,7,6,7,9,7,7,3,8,6,8,6,6,6,11
497,P,10,14,8,8,4,9,8,6,5,14,3,5,5,10,4,8
321,R,3,3,4,4,2,5,10,9,4,7,4,8,2,7,6,11
947,R,4,7,4,5,2,6,10,9,4,7,5,8,2,8,5,10
1630,B,9,11,7,6,4,10,4,5,6,11,3,9,6,7,6,11
25,B,4,6,6,4,2,10,7,3,8,11,3,6,1,8,5,10
113,R,3,5,6,4,4,9,7,3,5,9,4,6,3,7,4,10
1769,R,3,5,5,4,3,8,7,3,5,10,4,6,3,8,3,9
1863,A,4,6,6,4,3,7,3,2,2,5,2,7,2,6,2,7
103,A,6,8,9,8,8,8,7,3,5,7,7,7,5,8,4,5
1004,B,3,8,3,6,4,6,6,8,6,7,7,7,2,9,6,9
1424,R,4,6,7,4,5,8,8,7,3,8,4,7,4,6,7,9
769,R,4,5,7,5,7,9,6,5,4,8,5,7,6,8,6,7
1675,B,5,11,8,8,7,9,7,4,6,10,5,6,3,8,6,10
671,A,2,1,4,2,1,8,2,2,2,7,1,8,2,5,2,7
2100,B,3,7,5,5,7,9,8,4,3,6,7,7,4,11,7,7
994,P,4,11,6,9,6,7,9,5,5,9,8,3,2,10,4,6
690,R,5,10,5,7,6,6,7,5,6,6,3,8,3,6,4,8
203,B,4,3,4,5,3,6,7,8,6,7,6,6,2,8,9,9
1663,P,4,8,6,7,4,6,10,5,6,10,8,3,1,10,4,7
540,A,3,7,6,5,4,12,3,2,2,8,2,8,4,5,2,8
1471,R,9,13,7,7,4,9,5,5,6,9,4,9,6,6,7,11
307,P,4,6,5,4,3,8,9,5,5,12,4,3,1,9,4,8
764,A,3,11,6,8,2,8,7,3,1,7,0,8,3,7,2,8
296,A,4,5,6,3,2,9,2,2,2,8,2,10,3,7,2,8
1443,B,4,7,6,5,5,7,8,5,5,9,6,6,2,7,6,7
146,B,5,10,7,8,7,10,6,3,8,9,4,8,3,7,5,10
847,R,1,1,3,1,1,6,9,7,3,7,5,8,2,7,4,11
